player_name,player_number,player_team,game_date,game_time,game_opponent,game_location,game_type,stat_hits,stat_rbis,stat_at_bats,stat_singles,stat_doubles,stat_triples,stat_homeruns,stat_sacrifice,stat_strikeouts
WALKER BUSH,32,CIN,7/24/2023,1400,BKN,away,regular,5,3,8,2,0,1,2,0,3
WALKER BLAKE,69,KC,5/29/2023,1300,LAA,away,regular,1,1,1,1,0,0,0,0,0
LARRY BOYER,28,AZ,9/27/2023,1800,SLB,home,regular,1,1,2,1,0,0,0,0,1
GARY RIVERA,75,WSH,5/22/2023,1900,MIL,home,regular,2,2,2,2,0,0,0,0,0
LARRY SNYDER,34,HOU,5/16/2023,2000,AZ,away,regular,1,1,3,1,0,0,0,0,2
TJ HICKMAN,67,DET,7/30/2023,1900,AZ,home,regular,1,1,2,1,0,0,0,0,1
TJ WANG,46,NY,5/27/2023,1800,SLB,away,regular,4,3,8,1,1,0,2,1,3
GARY MELENDEZ,96,CWS,4/28/2023,1500,LA,home,regular,2,2,3,1,0,0,1,0,1
JACOB HARRISON,35,SF,8/14/2023,1800,NYY,away,regular,0,0,1,0,0,0,0,0,1
JAKE STEVENSON,36,KC,9/18/2023,1800,SEA,away,regular,3,2,5,1,1,0,1,0,2
EVAN HOLLAND,3,AZ,5/8/2023,2000,AZ,away,regular,1,1,3,1,0,0,0,0,2
BILLY COOKE,85,MIL,9/20/2023,1600,NYM,away,regular,1,1,2,1,0,0,0,0,1
WILL BERGER,53,PHB,8/19/2023,1200,KC,away,regular,1,1,1,1,0,0,0,0,0
WALKER HOLDEN,2,KC,8/8/2023,1300,OAK,away,regular,1,1,4,1,0,0,0,0,3
JOHNNY FIGUEROA,40,SD,9/29/2023,1400,LAD,away,regular,1,1,1,1,0,0,0,0,0
WALKER JARVIS,62,TEX,5/21/2023,1900,OAK,away,regular,2,1,4,1,0,0,1,0,2
BOB KHAN,4,BOU,8/3/2023,1600,AZ,home,regular,2,1,3,1,0,0,1,0,1
ADAM DILLON,54,FLA,9/11/2023,1200,PHB,home,regular,1,1,2,1,0,0,0,1,0
WILLIAM KELLY,98,MIN,9/17/2023,1300,CHO,home,regular,1,1,4,1,0,0,0,0,3
JACKSON OBRIEN,80,CAL,4/16/2023,1200,FLA,home,regular,0,0,2,0,0,0,0,0,2
BILLY ZUNIGA,54,CHO,10/21/2023,1200,CWS,home,postseason,1,1,1,1,0,0,0,0,0
JAMES MONTES,89,PHA,10/18/2023,1400,PHA,away,postseason,1,1,3,1,0,0,0,0,2
WILL COLE,45,NY,6/23/2023,1700,LAA,home,regular,1,1,4,1,0,0,0,0,3
JACKSON CALDWELL,87,CAL,10/28/2023,1500,STL,home,postseason,1,1,2,1,0,0,0,1,0
MARTIN SHEA,21,ATL,10/21/2023,1700,BOS,home,postseason,1,1,2,1,0,0,0,0,1
WALKER DELGADO,94,TB,5/2/2023,2000,SEA,away,regular,0,0,2,0,0,0,0,1,1
JAKE CHANDLER,57,NY,3/31/2023,1500,BOS,away,regular,2,2,5,2,0,0,0,1,2
WILLIAM REYES,43,SD,9/12/2023,1800,CHO,home,regular,1,1,3,1,0,0,0,1,1
TJ WALTER,59,AZ,7/25/2023,1600,SEA,home,regular,4,2,4,1,1,0,2,0,0
TJ PADILLA,36,CIN,5/7/2023,1700,SD,home,regular,2,1,4,1,1,0,0,0,2
BILLY MARSH,7,AZ,4/12/2023,1700,MIA,away,regular,0,0,3,0,0,0,0,0,3
THOMAS MACK,6,CWS,4/15/2023,1600,PIT,away,regular,1,1,2,1,0,0,0,1,0
RODRIGO LARA,44,NYG,7/11/2023,1900,CAL,away,regular,1,1,3,1,0,0,0,0,2
WILLIAM CHURCH,69,PHA,10/8/2023,1600,PIT,away,postseason,2,2,6,1,1,0,0,1,3
JOHNNY RANGEL,50,BAL,5/3/2023,1300,TB,away,regular,3,2,6,1,0,0,2,0,3
MARTIN TRUJILLO,70,SD,9/6/2023,1700,MIN,away,regular,1,1,5,1,0,0,0,1,3
WILL VALDEZ,35,NYG,7/14/2023,1200,NYY,away,regular,1,1,3,1,0,0,0,1,1
GARY GALVAN,71,CHC,6/11/2023,1500,PHA,home,regular,3,3,6,2,1,0,0,0,3
LARRY SHEA,81,BOR,7/18/2023,1200,NYH,home,regular,3,1,4,1,2,0,0,0,1
RODRIGO CHRISTENSEN,1,PHI,10/26/2023,1200,MIA,home,postseason,1,1,3,1,0,0,0,0,2
MARTIN CLINE,65,BKN,9/5/2023,1900,MIA,away,regular,1,1,1,1,0,0,0,0,0
GARY HARRISON,9,CHI,4/3/2023,2000,ATL,away,regular,1,1,3,1,0,0,0,0,2
TAYLOR HOWE,86,PHI,4/16/2023,1700,CHI,away,regular,1,1,4,0,0,1,0,1,2
JAKE NEAL,18,BOS,7/18/2023,2000,BKN,away,regular,1,1,3,1,0,0,0,0,2
BILLY STEVENSON,66,BOU,4/14/2023,1800,NYY,home,regular,0,0,1,0,0,0,0,0,1
BOB KIRK,46,NYM,9/3/2023,1600,SD,away,regular,1,1,5,1,0,0,0,1,3
BARRY DELGADO,90,SD,8/5/2023,2000,TB,away,regular,1,1,1,1,0,0,0,0,0
WILL DURHAM,25,PHP,6/21/2023,1200,MIL,away,regular,2,1,4,2,0,0,0,1,1
RODRIGO BELL,24,MTL,5/5/2023,1800,NYM,home,regular,1,1,3,1,0,0,0,0,2
TAYLOR ROSE,47,MIN,5/12/2023,1300,PHA,away,regular,1,1,3,1,0,0,0,0,2
MARTIN DYER,8,CWS,6/25/2023,2000,BOU,away,regular,1,1,2,1,0,0,0,0,1
JACKSON BISHOP,8,BOD,4/1/2023,1300,PHP,away,regular,2,1,5,1,1,0,0,1,2
JAMES MORGAN,26,BAL,9/1/2023,2000,SLB,away,regular,2,1,5,2,0,0,0,0,3
BOB MCINTOSH,8,NYG,6/23/2023,1300,MIA,away,regular,1,1,4,1,0,0,0,0,3
MARTIN WOODWARD,3,BOD,5/20/2023,1900,DET,home,regular,4,2,7,2,2,0,0,0,3
BILLY MOODY,77,MTL,7/10/2023,1600,STL,home,regular,1,1,5,1,0,0,0,1,3
JACKSON RICHARDSON,47,ATL,7/28/2023,1200,BOR,away,regular,1,1,2,1,0,0,0,1,0
JAKE GARDNER,75,BOS,8/10/2023,1900,ATL,home,regular,4,2,4,2,0,1,1,0,0
WILLIAM COLLINS,73,KC,7/15/2023,1200,OAK,home,regular,2,2,4,1,0,1,0,0,2
JAKE MAYO,39,MIL,7/1/2023,1500,STL,away,regular,1,1,1,1,0,0,0,0,0
JACOB SEXTON,8,NYM,9/3/2023,1500,CHO,home,regular,1,1,3,1,0,0,0,0,2
ADAM LUNA,69,MIL,4/25/2023,1500,COL,away,regular,1,1,4,1,0,0,0,1,2
JACOB HUNT,84,MIL,6/16/2023,1300,LA,away,regular,2,1,2,1,0,1,0,0,0
ADAM MOON,84,CIN,4/15/2023,1300,BSN,home,regular,1,1,3,1,0,0,0,0,2
ADAM HORTON,99,PHP,7/18/2023,1900,CIN,home,regular,2,1,2,1,1,0,0,0,0
WILL FLOYD,8,HOU,5/1/2023,1800,CIN,away,regular,2,1,4,1,1,0,0,1,1
JAMES CHANDLER,81,COL,10/11/2023,1400,DET,home,postseason,2,2,4,2,0,0,0,0,2
WILLIAM HOLT,51,DET,5/24/2023,1300,FLA,away,regular,4,1,7,0,1,0,3,1,2
ADAM VASQUEZ,23,SD,4/23/2023,1600,COL,away,regular,2,1,6,2,0,0,0,1,3
JAMES FLOYD,57,NYG,5/6/2023,2000,NYY,home,regular,1,1,3,1,0,0,0,0,2
JACOB QUINN,61,BOR,10/22/2023,1600,MTL,home,postseason,3,2,4,2,1,0,0,0,1
TAYLOR KELLER,56,FLA,10/19/2023,1700,PHP,home,postseason,4,1,6,1,0,0,3,0,2
JAKE LEVY,65,MIA,7/2/2023,1700,BOS,away,regular,2,2,3,1,0,0,1,0,1
GARY NOLAN,37,CIN,5/16/2023,1800,CLE,home,regular,1,1,1,1,0,0,0,0,0
JOHNNY SHIELDS,13,BOU,8/10/2023,1300,SLB,home,regular,1,1,4,1,0,0,0,0,3
JAMES CARRILLO,54,PHP,10/11/2023,1700,DET,away,postseason,1,1,3,1,0,0,0,0,2
BOB PARKS,3,MIL,7/6/2023,1600,TEX,away,regular,1,1,1,1,0,0,0,0,0
GARY WHITEHEAD,35,CHO,4/30/2023,1600,HOU,home,regular,1,1,3,1,0,0,0,0,2
JAKE KENNEDY,10,NY,8/15/2023,1400,WSH,home,regular,3,2,5,1,0,1,1,0,2
BILLY OCHOA,28,PIT,8/23/2023,1700,CHO,home,regular,5,2,5,1,1,0,3,0,0
GARY SAWYER,3,TEX,4/11/2023,1200,BAL,home,regular,2,2,4,1,0,1,0,0,2
TJ GOULD,97,BSN,10/5/2023,1600,WSH,away,postseason,1,1,4,1,0,0,0,0,3
JOHNNY YORK,73,PHB,7/28/2023,1300,TEX,away,regular,3,3,4,1,0,0,2,0,1
TAYLOR ESCOBAR,5,CHC,8/5/2023,1300,CLE,home,regular,1,1,4,1,0,0,0,1,2
LARRY ROACH,48,CHI,10/2/2023,1800,CAL,home,postseason,1,1,3,1,0,0,0,1,1
BILLY NOBLE,8,BOS,9/1/2023,1400,ANA,away,regular,2,2,5,1,1,0,0,1,2
TJ KANE,50,KC,5/26/2023,1900,BOR,home,regular,4,1,6,2,1,0,1,1,1
WALKER DICKERSON,96,PHB,10/28/2023,1900,PHA,away,postseason,1,1,1,1,0,0,0,0,0
JAMES KAUFMAN,35,MIN,7/26/2023,1800,PHA,home,regular,1,1,4,1,0,0,0,0,3
THOMAS HUGHES,56,BOS,10/20/2023,1400,TOR,away,postseason,1,1,3,1,0,0,0,1,1
JAKE YATES,80,CHC,4/13/2023,1600,PIT,away,regular,3,1,5,1,0,0,2,1,1
TAYLOR WEBB,0,SLB,5/30/2023,1600,SLC,home,regular,2,2,3,1,1,0,0,0,1
JACKSON HAYNES,6,CIN,5/4/2023,1700,HOU,home,regular,2,1,5,1,1,0,0,0,3
JAKE ROBERTS,71,ATL,5/11/2023,1700,CWS,home,regular,1,1,2,1,0,0,0,0,1
WILLIAM MCDOWELL,92,BOS,7/17/2023,1800,NYY,home,regular,2,2,3,1,1,0,0,0,1
BARRY GAMBLE,14,HOU,6/14/2023,1900,CHC,home,regular,2,1,2,2,0,0,0,0,0
JOHNNY DECKER,67,LAD,9/7/2023,1800,SEA,away,regular,1,1,5,1,0,0,0,1,3
RODRIGO CHARLES,99,CHI,5/19/2023,2000,BSN,away,regular,1,1,1,0,0,0,1,0,0
BILLY JORDAN,20,BAL,6/5/2023,2000,CLE,away,regular,1,1,4,0,1,0,0,1,2
MARTIN HART,17,TEX,10/2/2023,1600,PHI,home,postseason,1,1,3,1,0,0,0,1,1
BARRY JACKSON,87,MIA,10/31/2023,1700,CIN,home,postseason,3,2,3,1,0,0,2,0,0
BILL BREWER,50,OAK,10/30/2023,1500,SEA,home,postseason,2,2,6,1,1,0,0,1,3
JAKE PAYNE,9,TEX,7/2/2023,1400,TEX,away,regular,1,1,1,1,0,0,0,0,0
THOMAS VANG,23,MIL,6/12/2023,1200,OAK,away,regular,2,1,3,1,0,0,1,0,1
GARY HAWKINS,54,CWS,4/11/2023,1800,CHO,away,regular,1,1,3,1,0,0,0,0,2
RODRIGO GRANT,84,BAL,5/7/2023,1500,CAL,away,regular,2,1,4,1,1,0,0,0,2
WILL WEBER,64,KC,10/14/2023,1200,STL,away,postseason,0,0,4,0,0,0,0,1,3
BOB GEORGE,26,CHI,10/23/2023,1800,BKN,away,postseason,2,2,4,1,1,0,0,0,2
JAKE HENSON,35,MIL,7/28/2023,1900,NY,away,regular,0,0,2,0,0,0,0,1,1
WALKER RICH,43,SF,8/10/2023,1700,SLC,home,regular,1,1,1,1,0,0,0,0,0
JACOB MCCLAIN,96,PHI,7/19/2023,1500,NYM,home,regular,1,1,4,1,0,0,0,0,3
THOMAS KRUEGER,3,PHP,4/10/2023,1800,MIN,home,regular,2,1,3,2,0,0,0,0,1
WILL ZAVALA,43,BOR,10/29/2023,1400,KC,home,postseason,1,1,1,1,0,0,0,0,0
TAYLOR DUNLAP,76,SF,7/27/2023,1900,BOD,home,regular,2,1,3,1,1,0,0,1,0
JOHNNY RIVERS,31,PHI,5/10/2023,1700,FLA,away,regular,1,1,4,1,0,0,0,0,3
JAMES GRIFFITH,49,NYM,10/18/2023,1700,OAK,away,postseason,1,1,4,1,0,0,0,1,2
TJ DALTON,20,SD,10/26/2023,1800,PHB,away,postseason,2,2,2,1,1,0,0,0,0
TJ MERCADO,81,SLC,8/27/2023,1800,FLA,home,regular,1,1,4,1,0,0,0,0,3
BILL HARPER,36,MIL,7/19/2023,1900,TOR,home,regular,1,1,1,1,0,0,0,0,0
JACKSON PONCE,89,MTL,6/27/2023,1400,BOD,home,regular,3,2,6,1,0,1,1,1,2
BOB WELCH,81,BAL,7/22/2023,1700,SLC,away,regular,0,0,3,0,0,0,0,0,3
RODRIGO HARRIS,90,BKN,10/6/2023,1400,PHP,home,postseason,1,1,3,1,0,0,0,1,1
ADAM MARQUEZ,22,OAK,8/24/2023,1400,STL,home,regular,1,1,4,1,0,0,0,1,2
THOMAS FARLEY,33,TOR,4/13/2023,1500,TOR,home,regular,2,1,4,1,0,1,0,1,1
BOB KIM,20,TOR,8/26/2023,1800,ANA,away,regular,1,1,4,1,0,0,0,0,3
TJ GOODWIN,44,NY,4/30/2023,2000,MIN,home,regular,2,1,4,1,0,0,1,0,2
JACKSON KING,18,BOS,5/28/2023,1300,CIN,away,regular,4,3,4,1,0,0,3,0,0
THOMAS HAAS,86,SF,7/5/2023,1700,SLB,home,regular,1,1,3,1,0,0,0,0,2
BILLY PARK,51,NYG,8/9/2023,2000,BOR,away,regular,1,1,4,1,0,0,0,0,3
BILL CASTILLO,97,COL,9/20/2023,1700,TOR,home,regular,1,1,1,1,0,0,0,0,0
JACKSON KRAMER,74,PIT,5/15/2023,1400,MIL,away,regular,1,1,3,1,0,0,0,0,2
THOMAS BRIGHT,86,TB,10/8/2023,2000,FLA,home,postseason,1,1,5,1,0,0,0,1,3
JACOB HURST,2,CHO,6/7/2023,1400,HOU,home,regular,1,1,4,1,0,0,0,1,2
WILLIAM MCCULLOUGH,6,FLA,7/17/2023,1800,BSN,home,regular,1,1,1,1,0,0,0,0,0
JAMES EDWARDS,45,BOD,6/27/2023,1500,SD,away,regular,2,2,3,2,0,0,0,0,1
MARTIN GREEN,72,BOR,8/21/2023,1600,PHI,home,regular,0,0,2,0,0,0,0,0,2
THOMAS KIRK,77,SD,7/27/2023,1900,PHI,home,regular,1,1,2,1,0,0,0,1,0
BILLY POOLE,87,COL,8/7/2023,1800,NYH,away,regular,1,1,3,1,0,0,0,0,2
THOMAS ATKINS,6,CWS,6/6/2023,1300,MTL,home,regular,1,1,3,1,0,0,0,1,1
TJ PHAM,65,LAD,5/22/2023,2000,FLA,away,regular,3,3,4,2,0,0,1,0,1
GARY WHITNEY,29,BOS,9/13/2023,1200,COL,away,regular,3,2,4,2,1,0,0,0,1
WALKER TANNER,11,BOD,4/13/2023,1400,TOR,home,regular,3,2,6,2,1,0,0,1,2
MARTIN BURCH,39,ATL,5/22/2023,1200,ANA,home,regular,1,1,2,1,0,0,0,1,0
MARTIN SPARKS,76,NYM,4/14/2023,2000,MIL,away,regular,3,3,3,1,2,0,0,0,0
BILL CHARLES,22,WSH,5/6/2023,2000,MTL,away,regular,1,1,2,1,0,0,0,1,0
JACOB BAXTER,78,SF,7/7/2023,1600,PHP,home,regular,1,1,5,1,0,0,0,1,3
JAKE WILEY,51,MTL,9/17/2023,2000,FLA,home,regular,2,2,5,1,1,0,0,0,3
JACOB PATTON,33,BSN,7/21/2023,1200,PHI,home,regular,1,1,2,1,0,0,0,0,1
BOB ACEVEDO,47,BOU,9/7/2023,1300,PHB,home,regular,2,2,3,1,0,1,0,0,1
JOHNNY SIMPSON,77,TEX,5/25/2023,1800,CIN,away,regular,1,1,4,1,0,0,0,1,2
WILLIAM KENT,39,STL,8/11/2023,1500,NYH,home,regular,3,1,4,1,0,0,2,0,1
WALKER CHERRY,72,OAK,8/12/2023,1400,PHI,home,regular,1,1,3,1,0,0,0,0,2
BOB CONTRERAS,57,MIA,10/10/2023,1200,PHB,home,postseason,0,0,0,0,0,0,0,0,0
WALKER MEZA,17,BOD,6/19/2023,1900,BOS,away,regular,1,1,1,1,0,0,0,0,0
ADAM GAY,4,PIT,4/8/2023,1400,BOD,home,regular,2,1,3,2,0,0,0,0,1
TAYLOR WILKERSON,18,HOU,4/9/2023,1500,CHC,home,regular,1,1,3,1,0,0,0,0,2
JOHNNY STAFFORD,26,KC,9/6/2023,1300,STL,home,regular,0,0,3,0,0,0,0,0,3
WILLIAM SCHROEDER,4,PHB,7/19/2023,1900,OAK,away,regular,3,2,5,2,0,1,0,0,2
JACOB MACDONALD,25,PHI,7/2/2023,2000,BOA,home,regular,1,1,2,1,0,0,0,0,1
MARTIN BENITEZ,23,CLE,4/27/2023,1500,CAL,away,regular,2,2,2,1,0,1,0,0,0
BILLY HANCOCK,80,SF,5/8/2023,1200,CHC,home,regular,4,4,6,1,0,0,3,0,2
MARTIN WHEELER,18,NYY,8/13/2023,1200,LAA,home,regular,3,2,5,3,0,0,0,1,1
GARY LUCAS,21,BAL,4/8/2023,1600,CHC,home,regular,0,0,2,0,0,0,0,0,2
ADAM VINCENT,41,KC,9/3/2023,1900,LAA,home,regular,4,3,7,2,0,0,2,0,3
LARRY HO,66,PIT,6/2/2023,1700,PHP,away,regular,1,1,2,1,0,0,0,0,1
TJ JORDAN,22,NYY,7/17/2023,1800,NYH,away,regular,1,1,1,1,0,0,0,0,0
GARY BELL,42,PIT,10/25/2023,1400,BOA,away,postseason,1,1,3,1,0,0,0,0,2
BILLY MEADOWS,60,TOR,9/3/2023,1700,BOD,away,regular,1,1,3,1,0,0,0,0,2
JACOB CASTRO,10,PHP,10/8/2023,1700,LAD,away,postseason,1,1,2,1,0,0,0,0,1
EVAN FISCHER,35,FLA,5/27/2023,1200,PHA,away,regular,1,1,4,0,1,0,0,1,2
JACOB HOGAN,55,NYG,6/14/2023,1900,AZ,home,regular,2,1,3,2,0,0,0,1,0
WILLIAM BRADSHAW,2,MTL,6/17/2023,1300,BAL,home,regular,1,1,2,1,0,0,0,0,1
TAYLOR GARZA,92,PHA,4/15/2023,1200,STL,home,regular,1,1,3,1,0,0,0,0,2
THOMAS FINLEY,0,OAK,7/5/2023,1700,PHB,away,regular,2,1,3,2,0,0,0,0,1
ADAM TUCKER,94,PHB,6/19/2023,1800,SF,away,regular,2,2,4,2,0,0,0,0,2
WILL THOMAS,1,HOU,8/13/2023,2000,CIN,away,regular,1,1,3,1,0,0,0,0,2
TJ CAMACHO,2,SLC,8/24/2023,1500,OAK,away,regular,1,1,2,1,0,0,0,0,1
JOHNNY RITTER,53,BOA,4/14/2023,2000,MIN,home,regular,1,1,2,1,0,0,0,0,1
TJ WOLF,14,PHI,7/21/2023,1500,SD,away,regular,1,1,4,1,0,0,0,0,3
BOB SHANNON,25,SLC,5/11/2023,1800,WSH,away,regular,2,1,3,2,0,0,0,0,1
RODRIGO NOBLE,93,PHP,10/22/2023,1200,AZ,home,postseason,1,1,3,1,0,0,0,0,2
BILL DALTON,18,MTL,10/30/2023,1400,BSN,away,postseason,3,2,6,1,0,0,2,0,3
EVAN PENNINGTON,27,PHA,10/16/2023,1400,LAA,home,postseason,1,1,4,1,0,0,0,0,3
THOMAS MORAN,19,SLC,9/3/2023,1700,MIL,away,regular,1,1,1,1,0,0,0,0,0
EVAN LEVINE,25,CLE,6/12/2023,1900,BOR,home,regular,1,1,2,1,0,0,0,0,1
WILLIAM PROCTOR,52,CHI,10/6/2023,1800,SF,home,postseason,1,1,3,1,0,0,0,0,2
JACKSON VALENCIA,75,COL,8/15/2023,1700,TOR,away,regular,1,1,1,1,0,0,0,0,0
TAYLOR SIMS,21,OAK,7/31/2023,2000,PIT,home,regular,1,1,1,1,0,0,0,0,0
LARRY EWING,81,PHP,6/15/2023,1600,SD,away,regular,1,1,4,1,0,0,0,0,3
WALKER PENNINGTON,54,PHA,9/7/2023,1300,TB,home,regular,0,0,3,0,0,0,0,0,3
JACOB HORN,30,NY,10/9/2023,1500,MIL,home,postseason,2,2,4,1,1,0,0,1,1
BOB BLACKWELL,23,MIL,5/4/2023,1900,KC,away,regular,2,2,5,1,0,0,1,0,3
MARTIN ROBBINS,28,LAA,8/30/2023,1400,CAL,home,regular,2,1,5,2,0,0,0,0,3
GARY DAVIES,88,NYG,6/17/2023,1600,FLA,home,regular,1,1,1,1,0,0,0,0,0
JAKE MCMILLAN,90,NYY,10/29/2023,1700,BOD,home,postseason,1,1,3,1,0,0,0,1,1
EVAN ORR,8,CHO,10/26/2023,1500,MIN,home,postseason,2,1,5,2,0,0,0,0,3
JACOB COFFEY,78,NY,6/5/2023,1400,CHO,away,regular,1,1,3,1,0,0,0,0,2
TAYLOR WALTON,54,SD,7/26/2023,1700,MIL,home,regular,1,1,4,1,0,0,0,0,3
LARRY RITTER,15,BOD,4/8/2023,1600,CLE,away,regular,2,2,4,2,0,0,0,0,2
BILLY LANDRY,32,NYM,4/9/2023,1300,BKN,away,regular,2,1,6,1,0,0,1,1,3
TJ AGUIRRE,83,CAL,8/19/2023,1400,LAD,home,regular,2,2,2,1,0,1,0,0,0
WALKER MATA,74,SD,7/3/2023,1900,COL,away,regular,2,2,3,1,1,0,0,0,1
TJ VALENZUELA,64,SEA,4/18/2023,1800,LAD,away,regular,1,1,3,1,0,0,0,0,2
JACOB WRIGHT,1,PHA,8/11/2023,1700,MIN,away,regular,1,1,4,1,0,0,0,0,3
WALKER CAIN,51,TOR,4/28/2023,1400,NYH,away,regular,1,1,3,1,0,0,0,0,2
THOMAS RAYMOND,76,ATL,3/31/2023,1600,STL,home,regular,2,1,5,1,0,0,1,1,2
